"gene_id","ensembl_gene_id","gene_symbol","gene_type","HT55_baseMean","HT55_log2FC","HT55_pvalue","HT55_padj","HT55_status","SW948_baseMean","SW948_log2FC","SW948_pvalue","SW948_padj","SW948_status","shared_response","joint_padj"
"ENSG00000109107.16","ENSG00000109107","ALDOC","protein_coding",1075.08804940407,3.5233742307548,4.09673283611375e-95,5.93698522609605e-91,"Upregulated",1075.08804940407,4.99410054950983,1.1327699613653e-187,5.47203409336867e-184,"Upregulated","Shared_upregulated",5.93698522609605e-91
"ENSG00000137819.16","ENSG00000137819","PAQR5","protein_coding",655.095506473035,1.89350749137657,2.01421517753331e-66,7.29750158820318e-63,"Upregulated",655.095506473035,1.77251855310868,7.3583136128133e-65,5.79547178678752e-63,"Upregulated","Shared_upregulated",7.29750158820318e-63
"ENSG00000261609.11","ENSG00000261609","GAN","protein_coding",755.691819414334,1.90425379872314,1.4299138345749e-54,1.48016509218996e-51,"Upregulated",755.691819414334,1.92249333304141,5.79473726294097e-54,2.52943772332954e-52,"Upregulated","Shared_upregulated",1.48016509218996e-51
"ENSG00000143819.15","ENSG00000143819","EPHX1","protein_coding",968.109898709177,2.16752165621544,8.85640184159931e-52,6.41734877442286e-49,"Upregulated",968.109898709177,2.52736724710795,1.67981276767955e-75,1.99539726468952e-73,"Upregulated","Shared_upregulated",6.41734877442286e-49
"ENSG00000204385.15","ENSG00000204385","SLC44A4","protein_coding",427.997488100676,2.12114357346084,7.44447413092077e-51,4.69066604805669e-48,"Upregulated",427.997488100676,1.75397444156741,3.06437223348798e-57,1.66325402276059e-55,"Upregulated","Shared_upregulated",4.69066604805669e-48
"ENSG00000196139.16","ENSG00000196139","AKR1C3","protein_coding",2014.71308407646,1.51438213442253,2.10138305776397e-50,1.26888513637981e-47,"Upregulated",2014.71308407646,2.92868224915684,2.24486260893434e-183,8.1331372321691e-180,"Upregulated","Shared_upregulated",1.26888513637981e-47
"ENSG00000035862.15","ENSG00000035862","TIMP2","protein_coding",849.523659968999,3.18117445892356,1.72981807774096e-49,1.00274094330488e-46,"Upregulated",849.523659968999,3.07640360475204,3.93667994870841e-50,1.40865100781931e-48,"Upregulated","Shared_upregulated",1.00274094330488e-46
"ENSG00000108828.18","ENSG00000108828","VAT1","protein_coding",4205.96191114588,2.61156431481735,7.249053824287e-49,3.89086251931731e-46,"Upregulated",4205.96191114588,3.05001424557613,1.22013803656618e-72,1.31957018103859e-70,"Upregulated","Shared_upregulated",3.89086251931731e-46
"ENSG00000106665.18","ENSG00000106665","CLIP2","protein_coding",2316.32020316918,1.92684845742778,9.30433166402957e-49,4.6495991198316e-46,"Upregulated",2316.32020316918,2.18568451353471,1.51165591700727e-62,1.08450086877571e-60,"Upregulated","Shared_upregulated",4.6495991198316e-46
"ENSG00000104419.18","ENSG00000104419","NDRG1","protein_coding",1261.14323640478,2.12661188814795,1.02983984808836e-48,4.9748130261655e-46,"Upregulated",1261.14323640478,2.49728587477354,8.51281201446559e-71,8.50811529059554e-69,"Upregulated","Shared_upregulated",4.9748130261655e-46
